(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 229
Feature data normalized using z-score normalization.
Training:   0%|                                                                                                                                                                 | 0/4000 [00:00<?, ?epoch/s]/home/autrio/college-linx/SMAI/smai-m24-assignments-Autrio/models/MLP/MLP2.py:307: RuntimeWarning: invalid value encountered in log
  return np.mean(np.sum(-y  * np.log(y_pred+1e-9), axis=-1))
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: nan, Acc: -5.3607] 	Val:[Loss: -44.6397, Acc: -2.4564]
Epoch: 1728 	Train:[Loss: -72.7452, Acc: 0.7130] 	Val:[Loss: -72.6562, Acc: 0.6962]
Epoch: 1760 	Train:[Loss: -73.1711, Acc: 0.6646] 	Val:[Loss: -70.7768, Acc: 0.7975]
Epoch: 1792 	Train:[Loss: -72.9838, Acc: 0.6240] 	Val:[Loss: -72.6776, Acc: 0.6849]
Epoch: 1824 	Train:[Loss: -73.0328, Acc: 0.7184] 	Val:[Loss: -68.6139, Acc: 0.6976]
Epoch: 1856 	Train:[Loss: -73.0159, Acc: 0.6840] 	Val:[Loss: -67.4312, Acc: 0.6187]
Epoch: 1888 	Train:[Loss: -72.4408, Acc: 0.5952] 	Val:[Loss: -71.7459, Acc: 0.7706]
Epoch: 1920 	Train:[Loss: -72.9827, Acc: 0.6838] 	Val:[Loss: -67.9361, Acc: 0.6531]
Epoch: 1952 	Train:[Loss: -73.0692, Acc: 0.7285] 	Val:[Loss: -69.9943, Acc: 0.7895]
Epoch: 1984 	Train:[Loss: -72.5428, Acc: 0.6405] 	Val:[Loss: -71.5734, Acc: 0.7763]
Epoch: 2016 	Train:[Loss: -73.0016, Acc: 0.7039] 	Val:[Loss: -68.3386, Acc: 0.6796]
Epoch: 2048 	Train:[Loss: -73.0754, Acc: 0.7357] 	Val:[Loss: -70.1580, Acc: 0.7941]
Epoch: 2080 	Train:[Loss: -72.5322, Acc: 0.6575] 	Val:[Loss: -71.4853, Acc: 0.7794]
Epoch: 2112 	Train:[Loss: -73.0246, Acc: 0.7049] 	Val:[Loss: -68.4119, Acc: 0.6822]
Epoch: 2144 	Train:[Loss: -72.9076, Acc: 0.7089] 	Val:[Loss: -69.3476, Acc: 0.7257]
Epoch: 2176 	Train:[Loss: -72.9310, Acc: 0.7074] 	Val:[Loss: -68.8844, Acc: 0.7047]
Epoch: 2208 	Train:[Loss: -73.1289, Acc: 0.7536] 	Val:[Loss: -70.5565, Acc: 0.8105]
Epoch: 2240 	Train:[Loss: -72.9678, Acc: 0.7107] 	Val:[Loss: -68.5651, Acc: 0.6931]
Epoch: 2272 	Train:[Loss: -72.7168, Acc: 0.7280] 	Val:[Loss: -70.7744, Acc: 0.8041]
Epoch: 2304 	Train:[Loss: -72.8413, Acc: 0.7172] 	Val:[Loss: -69.3700, Acc: 0.7349]
Epoch: 2336 	Train:[Loss: -73.1583, Acc: 0.7339] 	Val:[Loss: -68.6394, Acc: 0.6998]
Epoch: 2368 	Train:[Loss: -73.2896, Acc: 0.7579] 	Val:[Loss: -69.7961, Acc: 0.7865]
Epoch: 2400 	Train:[Loss: -72.7387, Acc: 0.7412] 	Val:[Loss: -70.8728, Acc: 0.8077]
Epoch: 2432 	Train:[Loss: -72.9648, Acc: 0.7286] 	Val:[Loss: -68.8947, Acc: 0.7181]
Epoch: 2464 	Train:[Loss: -73.3030, Acc: 0.7626] 	Val:[Loss: -69.7979, Acc: 0.7897]
Epoch: 2496 	Train:[Loss: -72.9183, Acc: 0.7700] 	Val:[Loss: -70.8544, Acc: 0.8156]
Epoch: 2528 	Train:[Loss: -72.9663, Acc: 0.7392] 	Val:[Loss: -69.7639, Acc: 0.7688]
Epoch: 2560 	Train:[Loss: -72.9690, Acc: 0.7420] 	Val:[Loss: -69.8278, Acc: 0.7739]
Epoch: 2592 	Train:[Loss: -72.9685, Acc: 0.7448] 	Val:[Loss: -69.8959, Acc: 0.7788]
Epoch: 2624 	Train:[Loss: -72.9700, Acc: 0.7477] 	Val:[Loss: -69.9564, Acc: 0.7830]
Epoch: 2656 	Train:[Loss: -72.9706, Acc: 0.7508] 	Val:[Loss: -70.0270, Acc: 0.7875]
Epoch: 2688 	Train:[Loss: -72.9681, Acc: 0.7539] 	Val:[Loss: -70.1169, Acc: 0.7927]
Epoch: 2720 	Train:[Loss: -72.9625, Acc: 0.7568] 	Val:[Loss: -70.2217, Acc: 0.7982]
Epoch: 2752 	Train:[Loss: -72.9556, Acc: 0.7595] 	Val:[Loss: -70.3281, Acc: 0.8032]
Epoch: 2784 	Train:[Loss: -72.9488, Acc: 0.7619] 	Val:[Loss: -70.4265, Acc: 0.8075]
Epoch: 2816 	Train:[Loss: -72.9428, Acc: 0.7641] 	Val:[Loss: -70.5144, Acc: 0.8109]
Epoch: 2848 	Train:[Loss: -72.9377, Acc: 0.7660] 	Val:[Loss: -70.5925, Acc: 0.8137]
Epoch: 2880 	Train:[Loss: -72.9335, Acc: 0.7678] 	Val:[Loss: -70.6624, Acc: 0.8159]
Epoch: 2912 	Train:[Loss: -72.9302, Acc: 0.7694] 	Val:[Loss: -70.7264, Acc: 0.8178]
Epoch: 2944 	Train:[Loss: -72.9274, Acc: 0.7709] 	Val:[Loss: -70.7865, Acc: 0.8193]
Epoch: 2976 	Train:[Loss: -72.9248, Acc: 0.7723] 	Val:[Loss: -70.8444, Acc: 0.8205]
Epoch: 3008 	Train:[Loss: -72.9222, Acc: 0.7736] 	Val:[Loss: -70.9009, Acc: 0.8216]
Epoch: 3040 	Train:[Loss: -72.9195, Acc: 0.7749] 	Val:[Loss: -70.9555, Acc: 0.8224]
Epoch: 3072 	Train:[Loss: -72.9172, Acc: 0.7760] 	Val:[Loss: -71.0055, Acc: 0.8230]
Epoch: 3104 	Train:[Loss: -72.9162, Acc: 0.7772] 	Val:[Loss: -71.0478, Acc: 0.8234]
Epoch: 3136 	Train:[Loss: -72.9171, Acc: 0.7783] 	Val:[Loss: -71.0801, Acc: 0.8236]
Epoch: 3168 	Train:[Loss: -72.9199, Acc: 0.7795] 	Val:[Loss: -71.1022, Acc: 0.8238]
Epoch: 3200 	Train:[Loss: -72.9243, Acc: 0.7807] 	Val:[Loss: -71.1158, Acc: 0.8238]
Epoch: 3232 	Train:[Loss: -72.9297, Acc: 0.7819] 	Val:[Loss: -71.1231, Acc: 0.8238]
Epoch: 3264 	Train:[Loss: -72.9357, Acc: 0.7832] 	Val:[Loss: -71.1261, Acc: 0.8238]
Epoch: 3296 	Train:[Loss: -72.9420, Acc: 0.7844] 	Val:[Loss: -71.1259, Acc: 0.8238]
Epoch: 3328 	Train:[Loss: -72.9485, Acc: 0.7856] 	Val:[Loss: -71.1233, Acc: 0.8238]
Epoch: 3360 	Train:[Loss: -72.9554, Acc: 0.7869] 	Val:[Loss: -71.1184, Acc: 0.8238]
Epoch: 3392 	Train:[Loss: -72.9628, Acc: 0.7881] 	Val:[Loss: -71.1113, Acc: 0.8239]
Epoch: 3424 	Train:[Loss: -72.9710, Acc: 0.7894] 	Val:[Loss: -71.1015, Acc: 0.8240]
Epoch: 3456 	Train:[Loss: -72.9811, Acc: 0.7908] 	Val:[Loss: -71.0863, Acc: 0.8240]
Epoch: 3488 	Train:[Loss: -72.9955, Acc: 0.7923] 	Val:[Loss: -71.0553, Acc: 0.8240]
Epoch: 3520 	Train:[Loss: -73.0142, Acc: 0.7939] 	Val:[Loss: -71.0052, Acc: 0.8237]
Epoch: 3552 	Train:[Loss: -73.0654, Acc: 0.8357] 	Val:[Loss: -71.6976, Acc: 0.8196]
Epoch: 3584 	Train:[Loss: -72.7936, Acc: 0.6779] 	Val:[Loss: -71.2657, Acc: 0.7826]
Epoch: 3616 	Train:[Loss: -72.9770, Acc: 0.7962] 	Val:[Loss: -71.1563, Acc: 0.8239]
Epoch: 3648 	Train:[Loss: -73.2377, Acc: 0.8159] 	Val:[Loss: -70.4893, Acc: 0.8135]
Epoch: 3680 	Train:[Loss: -72.8773, Acc: 0.7985] 	Val:[Loss: -71.2775, Acc: 0.8237]
Epoch: 3712 	Train:[Loss: -72.9900, Acc: 0.8216] 	Val:[Loss: -71.7398, Acc: 0.7909]
Epoch: 3744 	Train:[Loss: -72.9961, Acc: 0.7992] 	Val:[Loss: -71.1711, Acc: 0.8229]
Epoch: 3776 	Train:[Loss: -73.0941, Acc: 0.8326] 	Val:[Loss: -71.5060, Acc: 0.8255]
Epoch: 3808 	Train:[Loss: -73.0640, Acc: 0.8406] 	Val:[Loss: -71.9983, Acc: 0.8116]
Epoch: 3840 	Train:[Loss: -73.1198, Acc: 0.8256] 	Val:[Loss: -71.7188, Acc: 0.8021]
Epoch: 3872 	Train:[Loss: -72.9428, Acc: 0.7991] 	Val:[Loss: -71.4416, Acc: 0.8296]
Epoch: 3904 	Train:[Loss: -73.1392, Acc: 0.8041] 	Val:[Loss: -70.6479, Acc: 0.8197]
Epoch: 3936 	Train:[Loss: -73.0681, Acc: 0.7946] 	Val:[Loss: -73.4845, Acc: 0.6335]
Epoch: 3968 	Train:[Loss: -73.1033, Acc: 0.8115] 	Val:[Loss: -71.1433, Acc: 0.8295]
